MODEL

Lambda: 5.0

Dataset structure: 1000 sequences with 100 features
Number of architectures in the best model: 10

Architecture 1: 149 sequences with 11 important features
4 (0.333333333333 {50/149}, 0.00653594771242 {0/149}, 0.143790849673 {21/149}, 0.516339869281 {78/149})
9 (0.111111111111 {16/149}, 0.0457516339869 {6/149}, 0.516339869281 {78/149}, 0.326797385621 {49/149})
13 (0.078431372549 {11/149}, 0.457516339869 {69/149}, 0.0718954248366 {10/149}, 0.392156862745 {59/149})
23 (0.00653594771242 {0/149}, 0.980392156863 {149/149}, 0.00653594771242 {0/149}, 0.00653594771242 {0/149})
24 (0.346405228758 {52/149}, 0.254901960784 {38/149}, 0.176470588235 {26/149}, 0.222222222222 {33/149})
42 (0.0196078431373 {2/149}, 0.0980392156863 {14/149}, 0.209150326797 {31/149}, 0.673202614379 {102/149})
46 (0.686274509804 {104/149}, 0.00653594771242 {0/149}, 0.261437908497 {39/149}, 0.0457516339869 {6/149})
50 (0.0196078431373 {2/149}, 0.411764705882 {62/149}, 0.346405228758 {52/149}, 0.222222222222 {33/149})
57 (0.00653594771242 {0/149}, 0.0130718954248 {1/149}, 0.385620915033 {58/149}, 0.59477124183 {90/149})
83 (0.00653594771242 {0/149}, 0.00653594771242 {0/149}, 0.00653594771242 {0/149}, 0.980392156863 {149/149})
93 (0.849673202614 {129/149}, 0.00653594771242 {0/149}, 0.0196078431373 {2/149}, 0.124183006536 {18/149})

Architecture 2: 95 sequences with 12 important features
8 (0.020202020202 {1/95}, 0.010101010101 {0/95}, 0.959595959596 {94/95}, 0.010101010101 {0/95})
14 (0.535353535354 {52/95}, 0.232323232323 {22/95}, 0.010101010101 {0/95}, 0.222222222222 {21/95})
23 (0.010101010101 {0/95}, 0.0707070707071 {6/95}, 0.808080808081 {79/95}, 0.111111111111 {10/95})
30 (0.323232323232 {31/95}, 0.0707070707071 {6/95}, 0.262626262626 {25/95}, 0.343434343434 {33/95})
38 (0.282828282828 {27/95}, 0.69696969697 {68/95}, 0.010101010101 {0/95}, 0.010101010101 {0/95})
45 (0.141414141414 {13/95}, 0.242424242424 {23/95}, 0.141414141414 {13/95}, 0.474747474747 {46/95})
46 (0.272727272727 {26/95}, 0.212121212121 {20/95}, 0.313131313131 {30/95}, 0.20202020202 {19/95})
61 (0.010101010101 {0/95}, 0.020202020202 {1/95}, 0.010101010101 {0/95}, 0.959595959596 {94/95})
65 (0.40404040404 {39/95}, 0.121212121212 {11/95}, 0.464646464646 {45/95}, 0.010101010101 {0/95})
85 (0.0707070707071 {6/95}, 0.161616161616 {15/95}, 0.686868686869 {67/95}, 0.0808080808081 {7/95})
94 (0.808080808081 {79/95}, 0.171717171717 {16/95}, 0.010101010101 {0/95}, 0.010101010101 {0/95})
100 (0.343434343434 {33/95}, 0.505050505051 {49/95}, 0.141414141414 {13/95}, 0.010101010101 {0/95})

Architecture 3: 127 sequences with 12 important features
2 (0.557251908397 {72/127}, 0.00763358778626 {0/127}, 0.12213740458 {15/127}, 0.312977099237 {40/127})
9 (0.908396946565 {118/127}, 0.0381679389313 {4/127}, 0.00763358778626 {0/127}, 0.0458015267176 {5/127})
16 (0.36641221374 {47/127}, 0.0458015267176 {5/127}, 0.381679389313 {49/127}, 0.206106870229 {26/127})
20 (0.190839694656 {24/127}, 0.175572519084 {22/127}, 0.488549618321 {63/127}, 0.145038167939 {18/127})
39 (0.229007633588 {29/127}, 0.351145038168 {45/127}, 0.0916030534351 {11/127}, 0.328244274809 {42/127})
47 (0.0152671755725 {1/127}, 0.946564885496 {123/127}, 0.030534351145 {3/127}, 0.00763358778626 {0/127})
52 (0.00763358778626 {0/127}, 0.00763358778626 {0/127}, 0.977099236641 {127/127}, 0.00763358778626 {0/127})
53 (0.167938931298 {21/127}, 0.00763358778626 {0/127}, 0.030534351145 {3/127}, 0.793893129771 {103/127})
58 (0.0229007633588 {2/127}, 0.274809160305 {35/127}, 0.69465648855 {90/127}, 0.00763358778626 {0/127})
82 (0.0152671755725 {1/127}, 0.129770992366 {16/127}, 0.81679389313 {106/127}, 0.0381679389313 {4/127})
83 (0.137404580153 {17/127}, 0.12213740458 {15/127}, 0.450381679389 {58/127}, 0.290076335878 {37/127})
96 (0.534351145038 {69/127}, 0.0458015267176 {5/127}, 0.404580152672 {52/127}, 0.0152671755725 {1/127})

Architecture 4: 33 sequences with 10 important features
