MODEL

Lambda: 3.0

Dataset structure: 1000 sequences with 100 features
Number of architectures in the best model: 10

Architecture 1: 148 sequences with 20 important features
4 (0.335526315789 {50/148}, 0.00657894736842 {0/148}, 0.144736842105 {21/148}, 0.513157894737 {77/148})
9 (0.111842105263 {16/148}, 0.0460526315789 {6/148}, 0.513157894737 {77/148}, 0.328947368421 {49/148})
13 (0.0789473684211 {11/148}, 0.460526315789 {69/148}, 0.0723684210526 {10/148}, 0.388157894737 {58/148})
18 (0.197368421053 {29/148}, 0.282894736842 {42/148}, 0.355263157895 {53/148}, 0.164473684211 {24/148})
23 (0.00657894736842 {0/148}, 0.980263157895 {148/148}, 0.00657894736842 {0/148}, 0.00657894736842 {0/148})
24 (0.348684210526 {52/148}, 0.25 {37/148}, 0.177631578947 {26/148}, 0.223684210526 {33/148})
37 (0.131578947368 {19/148}, 0.651315789474 {98/148}, 0.138157894737 {20/148}, 0.0789473684211 {11/148})
42 (0.0197368421053 {2/148}, 0.0986842105263 {14/148}, 0.210526315789 {31/148}, 0.671052631579 {101/148})
43 (0.236842105263 {35/148}, 0.309210526316 {46/148}, 0.282894736842 {42/148}, 0.171052631579 {25/148})
46 (0.690789473684 {104/148}, 0.00657894736842 {0/148}, 0.256578947368 {38/148}, 0.0460526315789 {6/148})
50 (0.0197368421053 {2/148}, 0.407894736842 {61/148}, 0.348684210526 {52/148}, 0.223684210526 {33/148})
51 (0.25 {37/148}, 0.375 {56/148}, 0.309210526316 {46/148}, 0.0657894736842 {9/148})
57 (0.00657894736842 {0/148}, 0.0131578947368 {1/148}, 0.388157894737 {58/148}, 0.592105263158 {89/148})
69 (0.401315789474 {60/148}, 0.302631578947 {45/148}, 0.0986842105263 {14/148}, 0.197368421053 {29/148})
79 (0.0986842105263 {14/148}, 0.289473684211 {43/148}, 0.236842105263 {35/148}, 0.375 {56/148})
82 (0.223684210526 {33/148}, 0.217105263158 {32/148}, 0.302631578947 {45/148}, 0.256578947368 {38/148})
83 (0.00657894736842 {0/148}, 0.00657894736842 {0/148}, 0.00657894736842 {0/148}, 0.980263157895 {148/148})
91 (0.118421052632 {17/148}, 0.302631578947 {45/148}, 0.388157894737 {58/148}, 0.190789473684 {28/148})
93 (0.848684210526 {128/148}, 0.00657894736842 {0/148}, 0.0197368421053 {2/148}, 0.125 {18/148})
98 (0.177631578947 {26/148}, 0.0394736842105 {5/148}, 0.401315789474 {60/148}, 0.381578947368 {57/148})

Architecture 2: 95 sequences with 17 important features
8 (0.020202020202 {1/95}, 0.010101010101 {0/95}, 0.959595959596 {94/95}, 0.010101010101 {0/95})
11 (0.252525252525 {24/95}, 0.040404040404 {3/95}, 0.666666666667 {65/95}, 0.040404040404 {3/95})
14 (0.535353535354 {52/95}, 0.232323232323 {22/95}, 0.010101010101 {0/95}, 0.222222222222 {21/95})
23 (0.010101010101 {0/95}, 0.0707070707071 {6/95}, 0.808080808081 {79/95}, 0.111111111111 {10/95})
30 (0.323232323232 {31/95}, 0.0707070707071 {6/95}, 0.262626262626 {25/95}, 0.343434343434 {33/95})
32 (0.131313131313 {12/95}, 0.494949494949 {48/95}, 0.0707070707071 {6/95}, 0.30303030303 {29/95})
38 (0.282828282828 {27/95}, 0.69696969697 {68/95}, 0.010101010101 {0/95}, 0.010101010101 {0/95})
42 (0.242424242424 {23/95}, 0.040404040404 {3/95}, 0.131313131313 {12/95}, 0.585858585859 {57/95})
45 (0.141414141414 {13/95}, 0.242424242424 {23/95}, 0.141414141414 {13/95}, 0.474747474747 {46/95})
46 (0.272727272727 {26/95}, 0.212121212121 {20/95}, 0.313131313131 {30/95}, 0.20202020202 {19/95})
61 (0.010101010101 {0/95}, 0.020202020202 {1/95}, 0.010101010101 {0/95}, 0.959595959596 {94/95})
65 (0.40404040404 {39/95}, 0.121212121212 {11/95}, 0.464646464646 {45/95}, 0.010101010101 {0/95})
66 (0.242424242424 {23/95}, 0.191919191919 {18/95}, 0.252525252525 {24/95}, 0.313131313131 {30/95})
74 (0.191919191919 {18/95}, 0.0909090909091 {8/95}, 0.121212121212 {11/95}, 0.59595959596 {58/95})
85 (0.0707070707071 {6/95}, 0.161616161616 {15/95}, 0.686868686869 {67/95}, 0.0808080808081 {7/95})
94 (0.808080808081 {79/95}, 0.171717171717 {16/95}, 0.010101010101 {0/95}, 0.010101010101 {0/95})
100 (0.343434343434 {33/95}, 0.505050505051 {49/95}, 0.141414141414 {13/95}, 0.010101010101 {0/95})

Architecture 3: 127 sequences with 24 important features
1 (0.229007633588 {29/127}, 0.145038167939 {18/127}, 0.465648854962 {60/127}, 0.160305343511 {20/127})
2 (0.557251908397 {72/127}, 0.00763358778626 {0/127}, 0.12213740458 {15/127}, 0.312977099237 {40/127})
9 (0.908396946565 {118/127}, 0.0381679389313 {4/127}, 0.00763358778626 {0/127}, 0.0458015267176 {5/127})
16 (0.36641221374 {47/127}, 0.0458015267176 {5/127}, 0.381679389313 {49/127}, 0.206106870229 {26/127})
18 (0.0839694656489 {10/127}, 0.297709923664 {38/127}, 0.473282442748 {61/127}, 0.145038167939 {18/127})
19 (0.175572519084 {22/127}, 0.114503816794 {14/127}, 0.152671755725 {19/127}, 0.557251908397 {72/127})
20 (0.190839694656 {24/127}, 0.175572519084 {22/127}, 0.488549618321 {63/127}, 0.145038167939 {18/127})
21 (0.297709923664 {38/127}, 0.267175572519 {34/127}, 0.114503816794 {14/127}, 0.320610687023 {41/127})
39 (0.229007633588 {29/127}, 0.351145038168 {45/127}, 0.0916030534351 {11/127}, 0.328244274809 {42/127})
47 (0.0152671755725 {1/127}, 0.946564885496 {123/127}, 0.030534351145 {3/127}, 0.00763358778626 {0/127})
52 (0.00763358778626 {0/127}, 0.00763358778626 {0/127}, 0.977099236641 {127/127}, 0.00763358778626 {0/127})
53 (0.167938931298 {21/127}, 0.00763358778626 {0/127}, 0.030534351145 {3/127}, 0.793893129771 {103/127})
55 (0.0534351145038 {6/127}, 0.198473282443 {25/127}, 0.351145038168 {45/127}, 0.396946564885 {51/127})
58 (0.0229007633588 {2/127}, 0.274809160305 {35/127}, 0.69465648855 {90/127}, 0.00763358778626 {0/127})
59 (0.236641221374 {30/127}, 0.190839694656 {24/127}, 0.213740458015 {27/127}, 0.358778625954 {46/127})
67 (0.404580152672 {52/127}, 0.114503816794 {14/127}, 0.12213740458 {15/127}, 0.358778625954 {46/127})
69 (0.267175572519 {34/127}, 0.229007633588 {29/127}, 0.129770992366 {16/127}, 0.374045801527 {48/127})
70 (0.297709923664 {38/127}, 0.30534351145 {39/127}, 0.0458015267176 {5/127}, 0.351145038168 {45/127})
72 (0.358778625954 {46/127}, 0.297709923664 {38/127}, 0.0916030534351 {11/127}, 0.251908396947 {32/127})
82 (0.0152671755725 {1/127}, 0.129770992366 {16/127}, 0.81679389313 {106/127}, 0.0381679389313 {4/127})
83 (0.137404580153 {17/127}, 0.12213740458 {15/127}, 0.450381679389 {58/127}, 0.290076335878 {37/127})
84 (0.152671755725 {19/127}, 0.190839694656 {24/127}, 0.167938931298 {21/127}, 0.488549618321 {63/127})
96 (0.534351145038 {69/127}, 0.0458015267176 {5/127}, 0.404580152672 {52/127}, 0.0152671755725 {1/127})
99 (0.206106870229 {26/127}, 0.167938931298 {21/127}, 0.160305343511 {20/127}, 0.465648854962 {60/127})

Architecture 4: 33 sequences with 18 important features
7 (0.0540540540541 {1/33}, 0.027027027027 {0/33}, 0.810810810811 {29/33}, 0.108108108108 {3/33})
15 (0.297297297297 {10/33}, 0.189189189189 {6/33}, 0.243243243243 {8/33}, 0.27027027027 {9/33})
17 (0.027027027027 {0/33}, 0.027027027027 {0/33}, 0.918918918919 {33/33}, 0.027027027027 {0/33})
24 (0.027027027027 {0/33}, 0.027027027027 {0/33}, 0.837837837838 {30/33}, 0.108108108108 {3/33})
26 (0.648648648649 {23/33}, 0.0540540540541 {1/33}, 0.108108108108 {3/33}, 0.189189189189 {6/33})
29 (0.297297297297 {10/33}, 0.108108108108 {3/33}, 0.459459459459 {16/33}, 0.135135135135 {4/33})
33 (0.0540540540541 {1/33}, 0.027027027027 {0/33}, 0.324324324324 {11/33}, 0.594594594595 {21/33})
45 (0.486486486486 {17/33}, 0.351351351351 {12/33}, 0.135135135135 {4/33}, 0.027027027027 {0/33})
49 (0.0540540540541 {1/33}, 0.297297297297 {10/33}, 0.108108108108 {3/33}, 0.540540540541 {19/33})
55 (0.0810810810811 {2/33}, 0.675675675676 {24/33}, 0.027027027027 {0/33}, 0.216216216216 {7/33})
57 (0.297297297297 {10/33}, 0.405405405405 {14/33}, 0.027027027027 {0/33}, 0.27027027027 {9/33})
60 (0.027027027027 {0/33}, 0.405405405405 {14/33}, 0.0540540540541 {1/33}, 0.513513513514 {18/33})
67 (0.378378378378 {13/33}, 0.027027027027 {0/33}, 0.108108108108 {3/33}, 0.486486486486 {17/33})
82 (0.135135135135 {4/33}, 0.027027027027 {0/33}, 0.594594594595 {21/33}, 0.243243243243 {8/33})
83 (0.405405405405 {14/33}, 0.297297297297 {10/33}, 0.135135135135 {4/33}, 0.162162162162 {5/33})
94 (0.243243243243 {8/33}, 0.216216216216 {7/33}, 0.27027027027 {9/33}, 0.27027027027 {9/33})
95 (0.027027027027 {0/33}, 0.108108108108 {3/33}, 0.189189189189 {6/33}, 0.675675675676 {24/33})
99 (0.108108108108 {3/33}, 0.378378378378 {13/33}, 0.27027027027 {9/33}, 0.243243243243 {8/33})

Architecture 5: 259 sequences with 18 important features
2 (0.368821292776 {96/259}, 0.326996197719 {85/259}, 0.167300380228 {43/259}, 0.136882129278 {35/259})
14 (0.00380228136882 {0/259}, 0.00380228136882 {0/259}, 0.988593155894 {259/259}, 0.00380228136882 {0/259})
15 (0.520912547529 {136/259}, 0.422053231939 {110/259}, 0.00380228136882 {0/259}, 0.0532319391635 {13/259})
20 (0.125475285171 {32/259}, 0.330798479087 {86/259}, 0.0190114068441 {4/259}, 0.524714828897 {137/259})
25 (0.171102661597 {44/259}, 0.764258555133 {200/259}, 0.0456273764259 {11/259}, 0.0190114068441 {4/259})
28 (0.171102661597 {44/259}, 0.399239543726 {104/259}, 0.102661596958 {26/259}, 0.326996197719 {85/259})
34 (0.326996197719 {85/259}, 0.121673003802 {31/259}, 0.0950570342205 {24/259}, 0.456273764259 {119/259})
37 (0.144486692015 {37/259}, 0.680608365019 {178/259}, 0.102661596958 {26/259}, 0.0722433460076 {18/259})
48 (0.186311787072 {48/259}, 0.269961977186 {70/259}, 0.190114068441 {49/259}, 0.3536121673 {92/259})
54 (0.144486692015 {37/259}, 0.148288973384 {38/259}, 0.494296577947 {129/259}, 0.212927756654 {55/259})
65 (0.00380228136882 {0/259}, 0.00380228136882 {0/259}, 0.00380228136882 {0/259}, 0.988593155894 {259/259})
70 (0.980988593156 {257/259}, 0.0114068441065 {2/259}, 0.00380228136882 {0/259}, 0.00380228136882 {0/259})
73 (0.00380228136882 {0/259}, 0.00380228136882 {0/259}, 0.988593155894 {259/259}, 0.00380228136882 {0/259})
76 (0.00380228136882 {0/259}, 0.988593155894 {259/259}, 0.00380228136882 {0/259}, 0.00380228136882 {0/259})
80 (0.368821292776 {96/259}, 0.0874524714829 {22/259}, 0.121673003802 {31/259}, 0.422053231939 {110/259})
85 (0.00380228136882 {0/259}, 0.889733840304 {233/259}, 0.102661596958 {26/259}, 0.00380228136882 {0/259})
91 (0.988593155894 {259/259}, 0.00380228136882 {0/259}, 0.00380228136882 {0/259}, 0.00380228136882 {0/259})
94 (0.216730038023 {56/259}, 0.346007604563 {90/259}, 0.231939163498 {60/259}, 0.205323193916 {53/259})

Architecture 6: 47 sequences with 24 important features
2 (0.647058823529 {32/47}, 0.117647058824 {5/47}, 0.21568627451 {10/47}, 0.0196078431373 {0/47})
7 (0.196078431373 {9/47}, 0.0196078431373 {0/47}, 0.0196078431373 {0/47}, 0.764705882353 {38/47})
9 (0.627450980392 {31/47}, 0.0196078431373 {0/47}, 0.176470588235 {8/47}, 0.176470588235 {8/47})
18 (0.176470588235 {8/47}, 0.0196078431373 {0/47}, 0.78431372549 {39/47}, 0.0196078431373 {0/47})
22 (0.666666666667 {33/47}, 0.294117647059 {14/47}, 0.0196078431373 {0/47}, 0.0196078431373 {0/47})
23 (0.078431372549 {3/47}, 0.333333333333 {16/47}, 0.176470588235 {8/47}, 0.411764705882 {20/47})
27 (0.0588235294118 {2/47}, 0.0588235294118 {2/47}, 0.647058823529 {32/47}, 0.235294117647 {11/47})
28 (0.117647058824 {5/47}, 0.450980392157 {22/47}, 0.137254901961 {6/47}, 0.294117647059 {14/47})
29 (0.294117647059 {14/47}, 0.294117647059 {14/47}, 0.372549019608 {18/47}, 0.0392156862745 {1/47})
30 (0.235294117647 {11/47}, 0.156862745098 {7/47}, 0.313725490196 {15/47}, 0.294117647059 {14/47})
31 (0.235294117647 {11/47}, 0.0196078431373 {0/47}, 0.117647058824 {5/47}, 0.627450980392 {31/47})
32 (0.176470588235 {8/47}, 0.509803921569 {25/47}, 0.176470588235 {8/47}, 0.137254901961 {6/47})
43 (0.196078431373 {9/47}, 0.352941176471 {17/47}, 0.176470588235 {8/47}, 0.274509803922 {13/47})
49 (0.313725490196 {15/47}, 0.235294117647 {11/47}, 0.117647058824 {5/47}, 0.333333333333 {16/47})
59 (0.0392156862745 {1/47}, 0.0196078431373 {0/47}, 0.0196078431373 {0/47}, 0.921568627451 {46/47})
61 (0.0196078431373 {0/47}, 0.0196078431373 {0/47}, 0.0196078431373 {0/47}, 0.941176470588 {47/47})
72 (0.235294117647 {11/47}, 0.0196078431373 {0/47}, 0.549019607843 {27/47}, 0.196078431373 {9/47})
75 (0.411764705882 {20/47}, 0.333333333333 {16/47}, 0.156862745098 {7/47}, 0.0980392156863 {4/47})
76 (0.0196078431373 {0/47}, 0.941176470588 {47/47}, 0.0196078431373 {0/47}, 0.0196078431373 {0/47})
77 (0.156862745098 {7/47}, 0.607843137255 {30/47}, 0.0196078431373 {0/47}, 0.21568627451 {10/47})
78 (0.411764705882 {20/47}, 0.196078431373 {9/47}, 0.0588235294118 {2/47}, 0.333333333333 {16/47})
81 (0.254901960784 {12/47}, 0.21568627451 {10/47}, 0.176470588235 {8/47}, 0.352941176471 {17/47})
86 (0.0196078431373 {0/47}, 0.0588235294118 {2/47}, 0.901960784314 {45/47}, 0.0196078431373 {0/47})
87 (0.294117647059 {14/47}, 0.176470588235 {8/47}, 0.176470588235 {8/47}, 0.352941176471 {17/47})

Architecture 7: 104 sequences with 22 important features
3 (0.101851851852 {10/104}, 0.148148148148 {15/104}, 0.731481481481 {78/104}, 0.0185185185185 {1/104})
8 (0.00925925925926 {0/104}, 0.203703703704 {21/104}, 0.00925925925926 {0/104}, 0.777777777778 {83/104})
9 (0.287037037037 {30/104}, 0.0648148148148 {6/104}, 0.175925925926 {18/104}, 0.472222222222 {50/104})
14 (0.0833333333333 {8/104}, 0.287037037037 {30/104}, 0.157407407407 {16/104}, 0.472222222222 {50/104})
16 (0.333333333333 {35/104}, 0.277777777778 {29/104}, 0.12037037037 {12/104}, 0.268518518519 {28/104})
27 (0.111111111111 {11/104}, 0.111111111111 {11/104}, 0.333333333333 {35/104}, 0.444444444444 {47/104})
30 (0.00925925925926 {0/104}, 0.00925925925926 {0/104}, 0.972222222222 {104/104}, 0.00925925925926 {0/104})
35 (0.166666666667 {17/104}, 0.12962962963 {13/104}, 0.25 {26/104}, 0.453703703704 {48/104})
38 (0.00925925925926 {0/104}, 0.425925925926 {45/104}, 0.0277777777778 {2/104}, 0.537037037037 {57/104})
39 (0.0833333333333 {8/104}, 0.185185185185 {19/104}, 0.166666666667 {17/104}, 0.564814814815 {60/104})
47 (0.481481481481 {51/104}, 0.166666666667 {17/104}, 0.12962962963 {13/104}, 0.222222222222 {23/104})
53 (0.0555555555556 {5/104}, 0.296296296296 {31/104}, 0.296296296296 {31/104}, 0.351851851852 {37/104})
58 (0.175925925926 {18/104}, 0.601851851852 {64/104}, 0.0833333333333 {8/104}, 0.138888888889 {14/104})
65 (0.231481481481 {24/104}, 0.324074074074 {34/104}, 0.296296296296 {31/104}, 0.148148148148 {15/104})
74 (0.185185185185 {19/104}, 0.111111111111 {11/104}, 0.166666666667 {17/104}, 0.537037037037 {57/104})
77 (0.212962962963 {22/104}, 0.398148148148 {42/104}, 0.111111111111 {11/104}, 0.277777777778 {29/104})
85 (0.0648148148148 {6/104}, 0.342592592593 {36/104}, 0.314814814815 {33/104}, 0.277777777778 {29/104})
86 (0.416666666667 {44/104}, 0.0555555555556 {5/104}, 0.12037037037 {12/104}, 0.407407407407 {43/104})
91 (0.00925925925926 {0/104}, 0.0277777777778 {2/104}, 0.0185185185185 {1/104}, 0.944444444444 {101/104})
94 (0.296296296296 {31/104}, 0.268518518519 {28/104}, 0.305555555556 {32/104}, 0.12962962963 {13/104})
96 (0.25 {26/104}, 0.481481481481 {51/104}, 0.259259259259 {27/104}, 0.00925925925926 {0/104})
98 (0.00925925925926 {0/104}, 0.277777777778 {29/104}, 0.694444444444 {74/104}, 0.0185185185185 {1/104})

Architecture 8: 64 sequences with 21 important features
2 (0.470588235294 {31/64}, 0.308823529412 {20/64}, 0.132352941176 {8/64}, 0.0882352941176 {5/64})
5 (0.117647058824 {7/64}, 0.0294117647059 {1/64}, 0.485294117647 {32/64}, 0.367647058824 {24/64})
6 (0.0294117647059 {1/64}, 0.5 {33/64}, 0.25 {16/64}, 0.220588235294 {14/64})
15 (0.941176470588 {63/64}, 0.0294117647059 {1/64}, 0.0147058823529 {0/64}, 0.0147058823529 {0/64})
16 (0.25 {16/64}, 0.25 {16/64}, 0.0735294117647 {4/64}, 0.426470588235 {28/64})
17 (0.0441176470588 {2/64}, 0.294117647059 {19/64}, 0.382352941176 {25/64}, 0.279411764706 {18/64})
30 (0.323529411765 {21/64}, 0.132352941176 {8/64}, 0.411764705882 {27/64}, 0.132352941176 {8/64})
39 (0.0147058823529 {0/64}, 0.455882352941 {30/64}, 0.191176470588 {12/64}, 0.338235294118 {22/64})
45 (0.0147058823529 {0/64}, 0.0294117647059 {1/64}, 0.132352941176 {8/64}, 0.823529411765 {55/64})
50 (0.147058823529 {9/64}, 0.558823529412 {37/64}, 0.191176470588 {12/64}, 0.102941176471 {6/64})
52 (0.147058823529 {9/64}, 0.102941176471 {6/64}, 0.397058823529 {26/64}, 0.352941176471 {23/64})
55 (0.0588235294118 {3/64}, 0.161764705882 {10/64}, 0.220588235294 {14/64}, 0.558823529412 {37/64})
56 (0.264705882353 {17/64}, 0.279411764706 {18/64}, 0.220588235294 {14/64}, 0.235294117647 {15/64})
58 (0.0441176470588 {2/64}, 0.691176470588 {46/64}, 0.235294117647 {15/64}, 0.0294117647059 {1/64})
66 (0.955882352941 {64/64}, 0.0147058823529 {0/64}, 0.0147058823529 {0/64}, 0.0147058823529 {0/64})
70 (0.161764705882 {10/64}, 0.0588235294118 {3/64}, 0.764705882353 {51/64}, 0.0147058823529 {0/64})
72 (0.0294117647059 {1/64}, 0.0147058823529 {0/64}, 0.823529411765 {55/64}, 0.132352941176 {8/64})
78 (0.455882352941 {30/64}, 0.205882352941 {13/64}, 0.0882352941176 {5/64}, 0.25 {16/64})
81 (0.102941176471 {6/64}, 0.411764705882 {27/64}, 0.147058823529 {9/64}, 0.338235294118 {22/64})
82 (0.0147058823529 {0/64}, 0.955882352941 {64/64}, 0.0147058823529 {0/64}, 0.0147058823529 {0/64})
92 (0.0147058823529 {0/64}, 0.0147058823529 {0/64}, 0.955882352941 {64/64}, 0.0147058823529 {0/64})

Architecture 9: 64 sequences with 14 important features
5 (0.0735294117647 {4/64}, 0.117647058824 {7/64}, 0.470588235294 {31/64}, 0.338235294118 {22/64})
28 (0.0147058823529 {0/64}, 0.441176470588 {29/64}, 0.5 {33/64}, 0.0441176470588 {2/64})
31 (0.102941176471 {6/64}, 0.0147058823529 {0/64}, 0.838235294118 {56/64}, 0.0441176470588 {2/64})
59 (0.132352941176 {8/64}, 0.279411764706 {18/64}, 0.514705882353 {34/64}, 0.0735294117647 {4/64})
61 (0.235294117647 {15/64}, 0.235294117647 {15/64}, 0.0735294117647 {4/64}, 0.455882352941 {30/64})
64 (0.544117647059 {36/64}, 0.411764705882 {27/64}, 0.0147058823529 {0/64}, 0.0294117647059 {1/64})
66 (0.0147058823529 {0/64}, 0.0147058823529 {0/64}, 0.0294117647059 {1/64}, 0.941176470588 {63/64})
68 (0.25 {16/64}, 0.514705882353 {34/64}, 0.132352941176 {8/64}, 0.102941176471 {6/64})
